path,size_mb,modified,experiment_folder,purpose
.venv\Lib\site-packages\distutils-precedence.pth,0.0,2026-01-21T21:09:01.607512,site-packages,Unknown
.venv\Lib\site-packages\captum\insights\attr_vis\models\cifar_torchvision.pt,0.24,2026-01-21T21:18:10.680547,models,Unknown
.venv\Lib\site-packages\en_core_web_sm\en_core_web_sm-3.8.0\lemmatizer\lookups\lookups.bin,0.93,2026-01-21T21:24:13.514655,lookups,Unknown
.venv\Lib\site-packages\en_core_web_sm\en_core_web_sm-3.8.0\vocab\lookups.bin,0.07,2026-01-21T21:24:13.627385,vocab,Unknown
outputs\checkpoints\roberta_baseline_seed42.pt,568.09,2026-01-29T14:22:00.199936,checkpoints,Baseline
outputs\checkpoints\roberta_msr_fixed_seed42.pt,568.09,2026-01-29T13:36:05.927350,checkpoints,MSR
